SK_ID_CURR,LIVE_REGION_NOT_WORK_REGION,REG_REGION_NOT_LIVE_REGION,NAME_HOUSING_TYPE,FLAG_DOCUMENT_2,NAME_CONTRACT_TYPE
100004,0,0,House / apartment,0,Revolving loans
100006,0,0,House / apartment,0,Cash loans
100012,0,0,House / apartment,0,Revolving loans
100014,0,0,House / apartment,0,Cash loans
100015,0,0,House / apartment,0,Cash loans
100017,0,0,House / apartment,0,Cash loans
100018,0,0,House / apartment,0,Cash loans
100019,0,0,Rented apartment,0,Cash loans
100030,0,0,House / apartment,0,Cash loans
100032,0,0,House / apartment,0,Cash loans
100034,0,0,With parents,0,Revolving loans
100035,0,0,House / apartment,0,Cash loans
100040,0,0,House / apartment,0,Cash loans
100043,0,0,House / apartment,0,Cash loans
100045,0,0,House / apartment,0,Cash loans
100048,1,0,House / apartment,0,Cash loans
100049,0,0,House / apartment,0,Cash loans
100051,0,0,House / apartment,0,Cash loans
100055,0,0,House / apartment,0,Cash loans
100058,0,0,House / apartment,0,Revolving loans
100059,0,0,House / apartment,0,Cash loans
100060,0,0,House / apartment,0,Cash loans
100062,0,0,House / apartment,0,Cash loans
100063,0,0,House / apartment,0,Cash loans
100069,1,0,House / apartment,0,Cash loans
100071,0,0,House / apartment,0,Cash loans
100078,0,0,House / apartment,0,Cash loans
100086,0,0,House / apartment,0,Cash loans
100088,0,0,House / apartment,0,Revolving loans
100098,0,0,House / apartment,0,Revolving loans
100100,0,0,House / apartment,0,Cash loans
100103,0,0,House / apartment,0,Cash loans
100104,0,0,House / apartment,0,Cash loans
100105,0,0,House / apartment,0,Cash loans
100112,0,0,With parents,0,Cash loans
100113,0,0,House / apartment,0,Cash loans
100114,0,0,House / apartment,0,Cash loans
100119,0,0,House / apartment,0,Revolving loans
100120,0,0,House / apartment,0,Cash loans
100121,0,0,With parents,0,Cash loans
100122,0,0,With parents,0,Cash loans
100126,0,0,House / apartment,0,Revolving loans
100133,0,0,With parents,0,Cash loans
100134,0,0,House / apartment,0,Revolving loans
100138,0,0,House / apartment,0,Cash loans
100139,0,0,House / apartment,0,Cash loans
100143,0,0,House / apartment,0,Revolving loans
100148,0,0,House / apartment,0,Cash loans
100153,0,0,House / apartment,0,Cash loans
100156,0,0,With parents,0,Cash loans
100157,0,0,House / apartment,0,Cash loans
100159,0,0,House / apartment,0,Cash loans
100161,0,0,House / apartment,0,Cash loans
100167,0,0,House / apartment,0,Cash loans
100175,0,0,House / apartment,0,Cash loans
100176,0,0,House / apartment,0,Cash loans
100178,0,0,House / apartment,0,Cash loans
100182,0,0,House / apartment,0,Revolving loans
100186,0,0,House / apartment,0,Cash loans
100188,0,0,Office apartment,0,Cash loans
100192,0,0,With parents,0,Cash loans
