SK_ID_CURR,FLAG_DOCUMENT_19,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,NONLIVINGAPARTMENTS_MEDI,FLOORSMAX_MODE
100004,Nay,0.0,0.0,,
100006,Nay,,,,
100012,Nay,,,,
100014,Nay,0.0,1.0,,
100015,Nay,0.0,0.0,,
100017,Nay,0.0,0.0,0.0,0.3333
100018,Nay,,,0.0194,0.6667
100019,Nay,0.0,0.0,,
100030,Nay,0.0,0.0,0.0,0.1667
100032,Nay,0.0,0.0,,
100034,Nay,,,0.0078,0.3333
100035,Nay,0.0,1.0,,0.0417
100040,Nay,,,0.0,0.1667
100043,Nay,0.0,0.0,,
100045,Nay,0.0,0.0,,0.3333
100048,Nay,0.0,0.0,,
100049,Nay,0.0,0.0,,
100051,Nay,,,,
100055,Nay,0.0,0.0,,
100058,Nay,0.0,0.0,,0.375
100059,Nay,1.0,0.0,,0.4583
100060,Nay,0.0,1.0,,0.0417
100062,Nay,0.0,0.0,,0.3333
100063,Nay,0.0,1.0,0.0039,0.3333
100069,Nay,0.0,0.0,,
100071,Nay,0.0,2.0,0.0078,0.4583
100078,Nay,0.0,0.0,,
100086,Nay,0.0,1.0,,
100088,Nay,0.0,0.0,,
100098,Nay,,,,
100100,Nay,0.0,0.0,,
100103,Nay,0.0,0.0,,
100104,Nay,0.0,0.0,,
100105,Nay,0.0,0.0,,
100112,Nay,0.0,0.0,,
100113,Nay,0.0,0.0,,
100114,Nay,0.0,0.0,,
100119,Nay,0.0,0.0,,
100120,Nay,0.0,0.0,,
100121,Nay,0.0,0.0,,0.1667
100122,Nay,0.0,0.0,0.2601,0.5833
100126,Nay,0.0,0.0,,0.0417
100133,Nay,,,,
100134,Nay,0.0,0.0,,
100138,Nay,0.0,1.0,,0.625
100139,Nay,1.0,0.0,0.0,0.1667
100143,Nay,0.0,0.0,,0.4583
100148,Nay,0.0,0.0,,0.125
100153,Nay,0.0,0.0,,
100156,Nay,0.0,1.0,0.0155,0.125
100157,Nay,0.0,1.0,,
100159,Nay,0.0,0.0,,
100161,Nay,0.0,0.0,,
100167,Nay,0.0,0.0,,0.0417
100175,Nay,0.0,1.0,,
100176,Nay,0.0,0.0,0.0078,0.3333
100178,Nay,0.0,0.0,,
100182,Nay,0.0,0.0,0.0039,0.1667
100186,Nay,0.0,0.0,,
100188,Nay,0.0,1.0,,
100192,Nay,0.0,0.0,,
100194,Nay,0.0,0.0,0.0116,0.1667
100197,Nay,,,,0.1667
100198,Nay,0.0,0.0,0.0,0.1667
100200,Nay,0.0,0.0,,0.1667
100205,Nay,0.0,0.0,,0.1667
100206,Nay,,,,
100208,Nay,0.0,0.0,0.0039,0.1667
100209,Nay,0.0,0.0,,
100210,Nay,0.0,0.0,,0.3333
100211,Nay,0.0,0.0,,0.3333
100214,Nay,,,,
100215,Nay,0.0,5.0,0.0272,0.125
100217,Nay,0.0,0.0,,0.0417
100218,Nay,0.0,0.0,,
100226,Nay,,,0.0,0.375
100228,Nay,0.0,1.0,0.0272,0.1667
100229,Nay,0.0,0.0,,
100234,Nay,0.0,0.0,,0.1667
100238,Nay,0.0,0.0,,
100240,Nay,0.0,0.0,0.0311,0.0
100242,Nay,0.0,0.0,,
100246,Nay,0.0,0.0,0.0078,0.1667
100247,Nay,0.0,0.0,,
100254,Nay,0.0,0.0,,0.1667
100258,Nay,,,0.0427,0.1667
100260,Nay,0.0,0.0,0.0,0.1667
100261,Nay,0.0,0.0,,0.0833
100262,Nay,0.0,0.0,,
100267,Nay,0.0,0.0,,0.3333
100272,Nay,0.0,0.0,0.0621,0.2917
100274,Nay,0.0,0.0,,0.3333
100276,Nay,0.0,0.0,0.0039,0.1667
100282,Nay,,,,
