SK_ID_CURR,LIVE_REGION_NOT_WORK_REGION,REG_REGION_NOT_LIVE_REGION,NAME_HOUSING_TYPE,FLAG_DOCUMENT_2,NAME_CONTRACT_TYPE,FLAG_DOCUMENT_19,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,NONLIVINGAPARTMENTS_MEDI,FLOORSMAX_MODE
278624,0,0,House / apartment,0,Revolving loans,0,,,,
278625,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278631,0,0,Rented apartment,0,Cash loans,0,0.0,1.0,0.0,0.0417
278636,0,0,House / apartment,0,Cash loans,0,0.0,1.0,0.0,0.1667
278640,1,0,Municipal apartment,0,Cash loans,0,0.0,0.0,,
278641,0,0,Municipal apartment,0,Revolving loans,0,0.0,0.0,,0.0417
278642,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.1667
278644,1,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.3333
278652,0,0,House / apartment,0,Cash loans,0,,,,
278654,1,0,Municipal apartment,0,Cash loans,0,0.0,0.0,0.0,0.125
278655,0,0,House / apartment,0,Cash loans,0,0.0,2.0,0.0078,0.4583
278659,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0,0.1667
278660,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.0
278667,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0466,0.625
278669,1,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278670,1,1,House / apartment,0,Cash loans,0,0.0,0.0,,
278674,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.1667
278678,0,0,Municipal apartment,0,Cash loans,0,0.0,0.0,0.0,0.375
278683,0,0,House / apartment,0,Cash loans,0,1.0,0.0,0.0116,0.4583
278684,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278689,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.625
278694,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278695,0,0,House / apartment,0,Cash loans,0,1.0,0.0,,
278698,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278701,0,0,With parents,0,Cash loans,0,0.0,0.0,,
278706,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,
278708,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278714,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0,0.1667
278720,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,0.2083
278721,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.125
278724,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278729,0,0,Municipal apartment,0,Cash loans,0,0.0,1.0,0.0,0.0417
278731,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278735,0,0,House / apartment,0,Cash loans,0,,,,
278745,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,0.3333
278746,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278748,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278749,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278751,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,
278752,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0039,0.1667
278761,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278762,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.3333
278763,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.0417
278768,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278771,0,0,House / apartment,0,Cash loans,0,1.0,0.0,,0.3333
278773,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278786,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278795,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278797,0,0,House / apartment,0,Revolving loans,0,,,0.0078,0.0833
278800,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,
278802,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0233,0.5833
278806,0,0,Municipal apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278809,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278813,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278814,0,0,House / apartment,0,Cash loans,0,,,,
278817,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0039,0.3333
278820,0,0,House / apartment,0,Cash loans,0,,,,
278823,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0078,0.375
278824,0,0,House / apartment,0,Cash loans,0,,,,0.0417
278828,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.0833
278831,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278834,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0388,0.5417
278835,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.1667
278843,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278845,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,0.1667
278852,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278856,0,0,House / apartment,0,Cash loans,0,,,,
278865,1,0,With parents,0,Cash loans,0,0.0,0.0,,
278867,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0078,0.3333
278874,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.0417
278880,1,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278883,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,
278884,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.3333
278887,0,0,Co-op apartment,0,Cash loans,0,,,0.0078,0.3333
278889,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.375
278895,0,0,House / apartment,0,Cash loans,0,0.0,1.0,0.0039,0.375
278896,0,0,House / apartment,0,Cash loans,0,,,0.0,0.1667
278897,0,0,Municipal apartment,0,Cash loans,0,,,,0.1667
278898,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,0.3333
278901,0,0,Municipal apartment,0,Cash loans,0,0.0,0.0,0.0039,0.3333
278902,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278905,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278906,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.1667
278907,0,0,House / apartment,0,Cash loans,0,0.0,5.0,,
278916,0,0,House / apartment,0,Cash loans,0,1.0,0.0,0.0,0.1667
278920,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278923,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278926,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.1667
278927,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0078,0.125
278928,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0,0.1667
278929,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,
278934,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,0.3333
278935,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,
278939,0,0,House / apartment,0,Cash loans,0,,,,
278940,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,,0.0
278947,0,0,With parents,0,Cash loans,0,0.0,1.0,,
278948,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278950,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,0.1667
278951,0,0,House / apartment,0,Cash loans,0,0.0,1.0,,
278964,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278966,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278970,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0,0.0417
278971,0,0,With parents,0,Cash loans,0,0.0,0.0,,
278973,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278977,1,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278978,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278980,0,0,Rented apartment,0,Cash loans,0,0.0,0.0,,
278985,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0,0.1667
278986,0,0,House / apartment,0,Revolving loans,0,0.0,0.0,0.0,0.125
278987,0,0,House / apartment,0,Cash loans,0,0.0,0.0,0.0078,0.3333
278989,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
278996,0,0,House / apartment,0,Cash loans,0,0.0,0.0,,
